Ticker,Name
3350.T,Metaplanet Inc.
4784.T,"GMO internet, Inc."
6330.T,Toyo Engineering Corporation
3697.T,SHIFT Inc.
9166.T,GENDA Inc.
3994.T,"Money Forward, Inc."
4704.T,Trend Micro Incorporated
6532.T,"Baycurrent, Inc."
215A.T,TIMEE INC
6869.T,Sysmex Corporation
2726.T,"PAL GROUP Holdings CO., LTD."
4716.T,Oracle Corporation Japan
5253.T,COVER Corporation
5032.T,ANYCOLOR Inc.
6526.T,Socionext Inc.
247A.T,AI ROBOTICS INC
3923.T,"Rakus Co., Ltd."
4194.T,"Visional, Inc."
2371.T,"Kakaku.com, Inc."
3626.T,TIS Inc.
3692.T,"FFRI Security, Inc."
9984.T,SoftBank Group Corp.
7974.T,"Nintendo Co., Ltd."
4680.T,Round One Corporation
2413.T,"M3, Inc."
6753.T,Sharp Corporation
8136.T,"Sanrio Company, Ltd."
3064.T,"MonotaRO Co., Ltd."
4307.T,"Nomura Research Institute, Ltd."
5838.T,"Rakuten Bank, Ltd."
3498.T,"Kasumigaseki Capital Co.,Ltd."
4751.T,"CyberAgent, Inc."
7733.T,Olympus Corporation
9684.T,"Square Enix Holdings Co., Ltd."
4689.T,LY Corporation
3349.T,COSMOS Pharmaceutical Corporation
6701.T,NEC Corporation
9616.T,"Kyoritsu Maintenance Co., Ltd."
9501.T,"Tokyo Electric Power Company Holdings, Incorporated"
6366.T,Chiyoda Corporation
4568.T,"Daiichi Sankyo Company, Limited"
3092.T,"ZOZO, Inc."
2432.T,"DeNA Co., Ltd."
6594.T,Nidec Corporation
6417.T,"Sankyo Co., Ltd."
6460.T,Sega Sammy Holdings Inc.
3635.T,"Koei Tecmo Holdings Co., Ltd."
4543.T,Terumo Corporation
6758.T,Sony Group Corporation
8113.T,Unicharm Corporation
9064.T,"Yamato Holdings Co., Ltd."
6098.T,"Recruit Holdings Co., Ltd."
7832.T,BANDAI NAMCO Holdings Inc.
7309.T,Shimano Inc.
8267.T,"Aeon Co., Ltd."
4980.T,Dexerials Corporation
4684.T,"OBIC Co.,Ltd."
3659.T,"NEXON Co., Ltd."
9697.T,"Capcom Co., Ltd."
290A.T,SYNSPECTIVE INC
9602.T,"Toho Co., Ltd."
5929.T,Sanwa Holdings Corporation
6814.T,"Furuno Electric Co., Ltd."
3038.T,"Kobe Bussan Co., Ltd."
8729.T,SONY FINANCIAL GROUP INC
4661.T,"Oriental Land Co., Ltd."
8233.T,"Takashimaya Company, Limited"
6702.T,Fujitsu Limited
3769.T,"GMO Payment Gateway, Inc."
4755.T,"Rakuten Group, Inc."
9468.T,Kadokawa Corporation
9766.T,Konami Group Corporation
9009.T,"Keisei Electric Railway Co., Ltd."
3088.T,MatsukiyoCocokara & Co.
4107.T,ISE Chemicals Corporation
7270.T,Subaru Corporation
4902.T,"Konica Minolta, Inc."
6762.T,TDK Corporation
2670.T,"ABC-Mart,Inc."
9023.T,TOKYO METRO CO LTD
4324.T,Dentsu Group Inc.
6141.T,"DMG Mori Co., Ltd."
6465.T,Hoshizaki Corporation
9024.T,Seibu Holdings Inc.
6254.T,"Nomura Micro Science Co., Ltd."
3549.T,"Kusuri No Aoki Holdings Co., Ltd."
6740.T,Japan Display Inc.
6724.T,Seiko Epson Corporation
8473.T,"SBI Holdings, Inc."
7220.T,"Musashi Seimitsu Industry Co., Ltd."
6501.T,"Hitachi, Ltd."
4612.T,"Nippon Paint Holdings Co., Ltd."
7148.T,"Financial Partners Group Co.,Ltd."
8308.T,"Resona Holdings, Inc."
4901.T,FUJIFILM Holdings Corporation
6323.T,Rorze Corporation
6269.T,"MODEC, Inc."
3110.T,"Nitto Boseki Co., Ltd."
2502.T,"Asahi Group Holdings, Ltd."
8411.T,"Mizuho Financial Group, Inc."
9143.T,"SG Holdings Co.,Ltd."
7752.T,"Ricoh Company, Ltd."
4005.T,"Sumitomo Chemical Company, Limited"
7259.T,Aisin Corporation
6016.T,Japan Engine Corporation
9843.T,"Nitori Holdings Co., Ltd."
285A.T,KIOXIA HOLDINGS CORPORATION
2267.T,"Yakult Honsha Co.,Ltd."
6988.T,Nitto Denko Corporation
1911.T,"Sumitomo Forestry Co., Ltd."
7201.T,"Nissan Motor Co., Ltd."
6976.T,"Taiyo Yuden Co., Ltd."
1885.T,TOA Corporation
5233.T,Taiheiyo Cement Corporation
3391.T,Tsuruha Holdings Inc.
7211.T,Mitsubishi Motors Corporation
4922.T,KOSE Holdings Corporation
1812.T,Kajima Corporation
6920.T,Lasertec Corporation
7269.T,Suzuki Motor Corporation
9434.T,SoftBank Corp.
4666.T,"PARK24 Co., Ltd."
6590.T,Shibaura Mechatronics Corporation
8604.T,"Nomura Holdings, Inc."
5110.T,"Sumitomo Rubber Industries, Ltd."
186A.T,ASTROSCALE HOLDINGS INC
3382.T,"Seven & i Holdings Co., Ltd."
7649.T,"Sugi Holdings Co.,Ltd."
5105.T,Toyo Tire Corporation
3086.T,"J. Front Retailing Co., Ltd."
5830.T,"Iyogin Holdings,Inc."
429A.T,TEKSCEND PHOTOMASK CORP.
7267.T,"Honda Motor Co., Ltd."
6981.T,"Murata Manufacturing Co., Ltd."
